Player,Season,Height_in,Height_cm,Position,Team,Games,MPG,PPG
Santi Aldama,2024-25,83,210.82,PF,MEM,43,27.9,14
Scoot Henderson,2024-25,75,190.5,PG,POR,30,24.9,14.2
Scottie Barnes,2024-25,79,200.66,PF,TOR,80,33.5,18.1
Shaedon Sharpe,2024-25,78,198.12,SG,POR,50,29.4,20.8
Shai Gilgeous-Alexander,2024-25,78,198.12,PG,OKC,68,33.2,31.1
Sharife Cooper,2024-25,73,185.42,PG,WAS,41,17.1,8.1
Simone Fontecchio,2024-25,80,203.2,SF,MIA,70,16.8,8.5
Sion James,2024-25,,,SG,CHO,82,22.5,5.4
Spencer Jones,2024-25,79,200.66,SF,DEN,64,22.1,5.5
Stephen Curry,2024-25,74,187.96,PG,GSW,43,30.9,26.6
Stephon Castle,2024-25,78,198.12,PG,SAS,68,30,16.7
Steven Adams,2024-25,83,210.82,C,HOU,32,22.8,5.8
Svi Mykhailiuk,2024-25,79,200.66,SF,UTA,50,23.1,9.4
T.J. McConnell,2024-25,73,185.42,PG,IND,56,17.2,9.4
Tari Eason,2024-25,80,203.2,PF,HOU,60,25.8,10.5
Taurean Prince,2024-25,78,198.12,SF,MIL,26,23.5,9.2
Taylor Hendricks,2024-25,81,205.74,PF,2TM,59,18.9,7.4
Terance Mann,2024-25,77,195.58,SG,BRK,63,24.3,7.2
Terrence Shannon Jr.,2024-25,,,SG,MIN,43,12.5,5.6
Thomas Bryant,2024-25,82,208.28,C,CLE,60,12.2,6.2
Tidjane SalaÃ¼n,2024-25,,,PF,CHO,37,15.5,6
Tim Hardaway Jr.,2024-25,77,195.58,SG,DEN,80,26.6,13.5
Tobias Harris,2024-25,80,203.2,PF,DET,63,27.7,13.3
Toumani Camara,2024-25,80,203.2,PF,POR,82,33.3,13.4
Tre Johnson,2024-25,,,SG,WAS,60,24.1,12.2
Tre Jones,2024-25,73,185.42,PG,CHI,65,27,14.1
Tre Mann,2024-25,75,190.5,PG,CHO,53,12.6,5.5
Trendon Watford,2024-25,81,205.74,PF,PHI,53,16.3,6.5
Trey Murphy III,2024-25,80,203.2,SF,NOP,66,35.5,21.5
Tristan Da Silva,2024-25,80,203.2,SF,ORL,77,24.7,9.9
Tristan Vukcevic,2024-25,82,208.28,C,WAS,49,13.7,9
Tyler Herro,2024-25,77,195.58,SG,MIA,33,31.3,20.5
Tyrese Martin,2024-25,78,198.12,SG,2TM,46,16.9,6.3
Tyrese Maxey,2024-25,74,187.96,PG,PHI,70,38,28.3
Tyrese Proctor,2024-25,,,PG,CLE,50,10.9,5.4
Tyson Etienne,2024-25,74,187.96,PG,BRK,24,15.8,7.9
VJ Edgecombe,2024-25,,,SG,PHI,75,35,16
Victor Wembanyama,2024-25,87,220.98,C,SAS,64,29.2,25
Vince Williams Jr.,2024-25,76,193.04,SG,2TM,40,20.5,7.5
VÃ­t KrejÄÃ­,2024-25,,,PG,2TM,65,21.4,8.5
Walter Clayton,2024-25,,,PG,2TM,69,20.4,7.8
Wendell Carter Jr.,2024-25,82,208.28,C,ORL,78,29.3,11.8
Will Richard,2024-25,,,SG,GSW,69,20,6.4
Will Riley,2024-25,,,SF,WAS,74,22.1,10.3
Yves Missi,2024-25,83,210.82,C,NOP,66,19.7,5.7
Zaccharie Risacher,2024-25,80,203.2,SF,ATL,67,22.4,9.6
Zach LaVine,2024-25,77,195.58,SG,SAC,39,31.4,19.2
Ziaire Williams,2024-25,81,205.74,SF,BRK,56,22.9,10.2
Zion Williamson,2024-25,78,198.12,PF,NOP,62,29.7,21
